Rainfall,River,Label
6.2,3.914839,0
54.9,4.627857,0
16.4,3.305161,0
56.8,4.457667,0
167.4,9.347742,1
306,26.55867,1
437.8,50.36129,1
265.4,42.59,1
318,14.80065,1
13,6.989333,1
12.9,3.267097,0
0,3.528387,0
17.8,4.078966,0
41.8,2.263226,0
15.6,4.274333,0
80.1,2.53129,0
42.2,5.782,0
149.2,31.68258,1
452.3,33.98387,1
289.6,41.92667,1
362.2,7.809032,1
13.2,4.339333,0
0.7,3.244839,0
0,2.567419,0
11.5,3.370714,0
45.4,2.107097,0
27.3,2.070333,0
44.5,5.164839,0
278.6,15.31333,1
299.1,29.93161,1
428.5,35.73226,1
451.4,17.485,1
217.3,18.69548,1
95.7,5.061667,0
0,3.358387,0
0,1.972323,0
4.2,1.795714,0
26.7,2.455806,0
58.7,1.523,0
6,1.065419,0
153.5,2.880733,0
165.8,20.22387,1
461.9,29.24194,1
294.5,22.90333,1
279.4,10.89806,1
91.2,3.5571,0
0,3.199032,0
36.7,1.32171,0
3.4,2.7957,0
35.2,3.336,0
98.7,3.593333,0
51,3.939355,0
155.9,5.36,0
125.6,18.71,1
470.6,46.56774,1
452,14.71233,1
189.4,5.386774,0
67.6,3.383333,0
0,2.379677,0
0,5.244516,0
0.4,3.457241,0
25.3,3.163871,0
6.3,2.164667,0
11,4.595484,0
92.3,15.42367,1
370.2,51.88387,1
477.8,16.88161,1
126.8,25.03133,1
281.7,12.04968,1
91,3.748667,0
0,1.914097,0
0,1.118387,0
13.3,1.631071,0
0.5,1.487258,0
135,10.47,1
75.7,2.77714,0
127.4,26.1345,1
120.6,50.31839,1
282.2,166.8161,1
360.6,120.2688,1
98.5,5.9997,0
63.9,3.365667,0
1.5,2.338387,0
0.1,1.856452,0
6.1,1.491071,0
1.5,1.405806,0
27.7,2.122,0
148.8,4.37,0
154.7,7.122,1
240,28.33032,1
408.9,51.39032,1
402.8,15.57667,1
126.6,4.39871,0
11.9,2.990667,0
0,1.83,0
0,1.755613,0
19.1,4.101071,0
85.2,2.347419,0
37.4,3.336,0
102.8,2.297742,0
55.1,3.593333,0
126.4,37.8171,1
485.4,22.36774,1
226.5,28.26333,1
358,7.589032,1
0,2.917667,0
0,2.738333,0
33.4,3.914839,0
7,4.627857,0
51.2,3.305161,0
7.2,4.457667,0
87.4,9.347742,1
151.2,26.55867,1
410,50.36129,1
329.4,42.59,1
376.5,14.80065,1
210,6.989333,1
17,3.267097,0
6.2,3.528387,0
0,4.078966,0
15.6,2.263226,0
37.6,4.274333,0
11.6,2.53129,0
61.7,5.782,0
77.8,31.68258,1
139.2,33.98387,1
362.2,41.92667,1
212.6,7.809032,1
199.1,4.339333,0
0.2,3.244839,0
0.8,2.567419,0
0,3.370714,0
12.4,2.107097,0
45.1,2.070333,0
32.8,5.164839,0
39.8,15.31333,1
197,29.93161,1
242,35.73226,1
223,17.485,1
267.5,18.69548,1
134,5.061667,0
94.4,3.358387,0
0,1.972323,0
0,1.795714,0
2.5,2.455806,0
28.6,1.523,0
44.8,1.065419,0
2.6,2.880733,0
119.5,20.22387,1
93.2,29.24194,1
264.7,22.90333,1
236.6,10.89806,1
112.2,3.5571,0
75.2,3.199032,0
0,1.32171,0
21,2.7957,0
1.5,3.336,0
38.4,3.593333,0
86.3,3.939355,0
71.5,5.36,0
51.6,18.71,1
125.3,46.56774,1
281.4,14.71233,1
229.7,5.386774,0
46.5,3.383333,0
27.5,2.379677,0
0,5.244516,0
0,3.457241,0
0.2,3.163871,0
19.1,2.164667,0
6.6,4.595484,0
10.6,15.42367,1
189,51.88387,1
110.9,16.88161,1
414.5,25.03133,1
169.7,12.04968,1
151,3.748667,0
